кластер,sku_в_кластере,E8_всего,E8_A,доля_A,receivers,моделей_принтеров,наборов,baseline_выручка_receivers_₽,baseline_позиций_receivers,baseline_показы_receivers,baseline_расход_receivers_₽,спрос_receivers
w1580x,4,2,1,0.5,2,5,2,0.0,0,0.0,0.0,12.0
картридж 305 hp,7,4,2,0.5,2,8,1,0.0,0,77.0,0.0,48416.0
canon 071,7,4,2,0.5,2,13,2,0.0,0,0.0,0.0,1159.0
samsung ml-1210,6,4,2,0.5,2,2,2,0.0,0,0.0,0.0,1259.0
bc250,10,6,3,0.5,2,13,1,0.0,0,172.0,16.0,3903.0
картридж для принтера epson,4,2,1,0.5,2,2,0,0.0,0,87.0,10.0,7611.0
mlt-d104s,7,4,2,0.5,2,20,1,0.0,0,7.0,0.0,11244.0
c9362he,4,2,1,0.5,2,6,2,0.0,0,0.0,0.0,72.0
xerox phaser 3100mfp картридж,4,2,1,0.5,2,4,0,0.0,0,5.0,0.0,22463.0
mlt-d111s,6,4,2,0.5,2,7,1,0.0,0,33.0,0.0,3655.0
scx-d6555a,4,2,1,0.5,2,2,2,0.0,0,0.0,0.0,30.0
4810,6,4,2,0.5,2,8,0,0.0,0,39.0,0.0,393.0
фотобарабан pantum bm5100adn,4,2,1,0.5,2,1,2,0.0,0,0.0,0.0,294.0
tl-420x картридж,3,2,1,0.5,1,4,0,0.0,0,60.0,13.0,9966.0
tn-619,3,2,1,0.5,1,5,1,0.0,0,0.0,0.0,5.0
картридж hp 711,6,4,2,0.5,1,9,0,0.0,0,3.0,0.0,131.0
6600,5,4,2,0.5,1,11,0,0.0,0,26.0,0.0,13301.0
oki c822,3,2,1,0.5,1,4,1,0.0,0,0.0,0.0,7.0
dkc,5,2,1,0.5,1,9,0,0.0,0,23.0,0.0,4238.0
cs 708,3,2,1,0.5,1,4,0,0.0,0,53.0,46.0,3354.0
фото,5,2,1,0.5,1,14,0,0.0,0,57.0,0.0,10052.0
dshe одежда,3,2,1,0.5,1,3,1,0.0,0,0.0,0.0,1109.0
9250s samsung,7,6,3,0.5,1,7,1,0.0,0,0.0,0.0,26.0
cardputer adv,9,8,4,0.5,1,8,1,0.0,0,0.0,0.0,30.0
foriec 2400,8,6,3,0.5,1,3,0,0.0,0,31.0,0.0,3519.0
samsung m35,7,6,3,0.5,1,5,0,0.0,0,25.0,0.0,3772.0
16,3,2,1,0.5,1,5,0,0.0,0,28.0,0.0,7578.0
tk-5230,4,2,1,0.5,1,5,0,0.0,0,47.0,0.0,1864.0
w251,10,8,4,0.5,1,6,0,0.0,0,69.0,0.0,9914.0
idol,3,2,1,0.5,1,4,0,0.0,0,47.0,2.0,3461.0
c-exv60,3,2,1,0.5,1,6,0,0.0,0,6.0,0.0,4368.0
dr 2275,3,2,1,0.5,1,11,0,0.0,0,0.0,0.0,56.0
mlp,31,26,13,0.5,1,14,0,0.0,0,15.0,0.0,2534.0
canon pixma g1010,3,2,1,0.5,1,0,0,0.0,0,0.0,0.0,82.0
vaporesso картридж,5,2,1,0.5,1,0,0,0.0,0,1089.0,59.0,1521.0
tk-1270 картридж,3,2,1,0.5,1,7,0,0.0,0,33.0,0.0,2241.0
принтер samsung scx 4200,3,2,1,0.5,1,6,1,0.0,0,0.0,0.0,2228.0
картриджи для принтера hp,3,2,1,0.5,1,3,0,0.0,0,34.0,8.0,705.0
970,5,4,2,0.5,1,2,1,0.0,0,0.0,0.0,27.0
brother a80,3,2,1,0.5,1,0,0,730.0,1,71.0,21.0,205.0
canon 1133,5,4,2,0.5,1,1,1,0.0,0,0.0,0.0,1206.0
картридж для принтера самсунг scx 4200,3,2,1,0.5,1,2,0,0.0,0,17.0,7.0,13451.0
картридж для принтера samsung ml-3750nd,3,2,1,0.5,1,2,1,0.0,0,0.0,0.0,1176.0
hp m428dw,3,2,1,0.5,1,2,1,0.0,0,0.0,0.0,7238.0
mb для новорожденных,5,4,2,0.5,1,5,1,0.0,0,0.0,0.0,1100.0
travel book,3,2,1,0.5,1,6,0,0.0,0,62.0,0.0,326.0
lc200,3,2,1,0.5,1,4,0,0.0,0,27.0,0.0,281.0
картридж для принтера lexmark ms431dn,5,4,2,0.5,1,0,0,0.0,0,0.0,0.0,3188.0
kyocera 2540,3,2,1,0.5,1,4,1,0.0,0,0.0,0.0,5596.0
epson cx4300,3,2,1,0.5,1,4,0,0.0,0,9.0,0.0,8371.0
картридж hp 727,3,2,1,0.5,1,5,0,0.0,0,13.0,0.0,3760.0
mf664cdw,6,4,2,0.5,1,6,1,0.0,0,6.0,0.0,1669.0
чернила epson 103,8,6,3,0.5,1,4,1,0.0,0,21.0,0.0,1562.0
hp t630,4,2,1,0.5,1,7,0,0.0,0,24.0,0.0,9476.0
tk-6725,3,2,1,0.5,1,2,1,0.0,0,0.0,0.0,14.0
kyk,3,2,1,0.5,1,3,0,0.0,0,33.0,0.0,2068.0
к681 картридж,3,2,1,0.5,1,3,1,0.0,0,0.0,0.0,2.0
caddx irc,3,2,1,0.5,1,9,1,0.0,0,0.0,0.0,21.0
cb1300,4,2,1,0.5,1,7,0,0.0,0,39.0,0.0,6855.0
принтер для печати на cd,3,2,1,0.5,1,4,0,0.0,0,24.0,0.0,177.0
принтер а4,23,17,8,0.471,6,26,3,0.0,0,139.0,0.0,20744.0
для 3д принтера,24,17,8,0.471,3,32,0,6622.0,2,184.0,25.0,23912.0
cf280x,20,13,6,0.462,7,19,3,10053.0,1,88.0,0.0,31518.0
xp600,17,11,5,0.455,5,16,3,0.0,0,131.0,0.0,814.0
картридж canon mf3010,12,11,5,0.455,1,6,1,0.0,0,0.0,0.0,79.0
envy,12,11,5,0.455,1,6,0,0.0,0,101.0,14.0,4606.0
km,21,20,9,0.45,1,11,1,0.0,0,0.0,0.0,24.0
pgi-480,13,9,4,0.444,4,9,0,0.0,0,379.0,14.0,3935.0
nimbot printer,11,9,4,0.444,2,9,2,0.0,0,0.0,0.0,328.0
краска для принтера hp,11,9,4,0.444,2,40,0,0.0,0,116.0,15.0,10928.0
