offer_id,name,vendorCode,category,barcodes,tc_parent,tc_vc,verdict,ms,ya_twin_ok,marketSku,mapping_keys
10097,Лента для печати наклеек PT-2610,273088,Картриджи для матричных принтеров,,43324402,,C,,,,marketCategoryId marketCategoryName
10368,Картридж C-EXV49Y (8527B002) желтый,2886,Картриджи для Canon,,SP3400,C-EXV49Y,B,vc=2886,2886,,marketCategoryId marketCategoryName
10098,Лента для печати наклеек PT-2700,273089,Картриджи для матричных принтеров,,43324402,,C,,,,marketCategoryId marketCategoryName
10086,Лента для печати наклеек PT-2310,273077,Картриджи для матричных принтеров,,43324403,,C,,,,marketCategoryId marketCategoryName
21283,Картридж T5436 (C13T543600) светло-пурпурный,3247,Картриджи для Epson,,MK-410,T5436,B,vc=3247,3247,,marketCategoryId marketCategoryName
10110,Лента для печати наклеек PT-9700,2730101,Картриджи для матричных принтеров,,43324401-43324404,,C,,,,marketCategoryId marketCategoryName
10270,Картридж PFI-106PC фото-голубой,2826,Картриджи для Canon,,43487736,PFI-106PC,B,vc=2826,2826,,marketCategoryId marketCategoryName
10065,Лента для печати наклеек PT-1500,273056,Картриджи для матричных принтеров,,43381905-43381908,,C,,,,marketCategoryId marketCategoryName
10283,Картридж PFI-207MK черный матовый,2835,Картриджи для Canon,,43487735,PFI-207MK,B,vc=2835,2835,,marketCategoryId marketCategoryName
14812,Картридж 106R02607 пурпурный,3145,Картриджи для Xerox,,CLI-526Y,106R02607,B,offer=14812;vc=3145,3145,,marketCategoryId marketCategoryName
10075,Лента для печати наклеек PT-1880,273066,Картриджи для матричных принтеров,,43324404,,C,,,,marketCategoryId marketCategoryName
10111,Лента для печати наклеек PT-9800,2730102,Картриджи для матричных принтеров,,43324401-43324404,,C,,,,marketCategoryId marketCategoryName
1855,"Картридж S050097, желтый",0462,Картриджи для Epson,,,S050097,B,vc=0462,0462,,marketCategoryId marketCategoryName
10104,Лента для печати наклеек PT-7500,273095,Картриджи для матричных принтеров,,43324401,,C,,,,marketCategoryId marketCategoryName
10080,Лента для печати наклеек PT-2030,273071,Картриджи для матричных принтеров,,43324403,,C,,,,marketCategoryId marketCategoryName
21307,Риббон-картридж HDP-920,3255,Ленточные картриджи,,C9153A,HDP-920,B,vc=3255,3255 32551 3255X10 3255X2 3255X6,,marketCategoryId marketCategoryName
10118,Лента для печати наклеек TZe-231,2737,Ленточные картриджи,,43324401-43324404,TZe-231,B,vc=2737,2737 2737X10 2737X2 2737X6,,marketCategoryId marketCategoryName
10127,Лента для печати наклеек TZe-621,2746,Ленточные картриджи,,43865744/ 43865724 BK,TZe-621,B,vc=2746,2746,,marketCategoryId marketCategoryName
