код МС;артикул;внешний код;наименование;категория;архив;штук всего;последнее оприходование;дата
;GDCN0GI490010;tIdCvNI5gFof7RhL4cuDg1;Чернила Canon GI-490BK (0663C001), Чёрные (6000 стр., 135 мл) dye;;;100.0;bulat_2026-08-17_p11;2026-08-17
;GDCN0UNIV0010;5P-alZEbhioW5PeZ5582p1;Чернила Canon Universal, Чёрные банка 500 мл pigment;;;20.0;bulat_2026-08-17_p11;2026-08-17
;GDCN0UNIV0030;2NN-ejwPiidP21S9wBs473;Чернила Canon Universal, Голубые банка 500 мл dye;;;20.0;bulat_2026-08-17_p11;2026-08-17
;GDCN0UNIV0040;D5i6Dk44huhyXJmhc3t-20;Чернила Canon Universal, Пурпурные банка 500 мл dye;;;20.0;bulat_2026-08-17_p11;2026-08-17
;GDCN0UNIV0050;CHspJweVjsKSdfQYzplUD0;Чернила Canon Universal, Жёлтые банка 500 мл dye;;;20.0;bulat_2026-08-17_p11;2026-08-17
;GDCN0UNIV0060;7wZeKKKLjQrN-PokdNWXO2;Чернила Canon Universal, Чёрные банка 100 мл pigment;;;50.0;bulat_2026-08-17_p14;2026-08-17
;GDEP00L800030;PQw7mWmjgBDrhaBo43RZ81;Контейнер с чернилами (с клапаном) БУЛАТ T6733, C13T67334A для Epson L800, Пурпурный (70 мл) dye;;;300.0;bulat_2026-08-17_p11;2026-08-17
;GDEP00L800040;ta48gexVgSYcwmlleT7l11;Контейнер с чернилами (с клапаном) БУЛАТ T6734, C13T67344A для Epson L800, Жёлтый (70 мл) dye;;;300.0;bulat_2026-08-17_p11;2026-08-17
;GDEP00L800100;XlZXo-mLiewoeyixCuBlC3;Контейнер с чернилами (с клапаном) БУЛАТ C13T67344A  для Epson L800 T6734, Жёлтый (100 мл) dye;;;301.0;bulat_2026-08-17_p11;2026-08-17
;GDEP0L1455020;iqQfXVkxggidPUlDy2HRv0;Контейнер с чернилами БУЛАТ C13T77414A, T7741 для Epson L1455, L605, M100, Чёрный (6000 стр., 140 мл) pigment;;;200.0;bulat_2026-08-17_p11;2026-08-17
;GDEP0L4150010;gbAx4a0gjtkcPWnYiWAzh3;Контейнер с чернилами БУЛАТ C13T03V14A для Epson L4150, L6160 101, Чёрный (7500 стр., 127 мл);;;202.0;bulat_2026-08-17_p11;2026-08-17
;GDEP0L4150020;Jtp0hacejRc4JA1RsZRBI1;Контейнер с чернилами БУЛАТ C13T03V24A, E-101 для Epson L4150, L6160, Голубой (6000 стр., 70 мл);;;200.0;bulat_2026-08-17_p11;2026-08-17
;GDEP0L4150030;zIu5SGtej4WLb0EqyyGd21;Контейнер с чернилами БУЛАТ C13T03V34A для Epson L4150, L6160 101, Пурпурный (6000 стр., 70 мл);;;200.0;bulat_2026-08-17_p11;2026-08-17
;GDEP0L4150040;5eYM80Mij68GcPYM09Eh41;Контейнер с чернилами БУЛАТ C13T03V44A для Epson L4150, L6160, Жёлтый (6000 стр., 70 мл);;;200.0;bulat_2026-08-17_p11;2026-08-17
;GDEP0L8160010;SPwz1fsVgjZxHXnJCSg3T2;Чернила 115, C13T07C14A для Epson L8160, L8180 (банка с колпачком), Чёрные (6700 стр., 70 мл) pigment;;;20.0;bulat_2026-08-17_p14;2026-08-17
;GDEP0L8160020;YITexpo4j9f1RBL7SK8No0;Чернила БУЛАТ 115, C13T07D14A для Epson L8160 , L8180 (банка с колпачком), Чёрные (70 мл);;;50.0;bulat_2026-08-17_p14;2026-08-17
;GDEP0M1100010;zrOEGgTbgLuO0Om4lzu1d0;Контейнер с чернилами БУЛАТ C13T03P14A, E-110 для Epson M1100, M1170, M2140 Чёрный XL (6000 стр., 120 мл) pigment;;;300.0;bulat_2026-08-17_p11;2026-08-17
