code,offers_in_ads,offers_with_sales,ad_spend_july,revenue_180d,offer_ids,name
2215,4,2,130,33315,2215; 22152; 2215X2; 2215X6,"Картридж ML182 для принтеров OKI ML-182, ML 192, ML280, ML-3"
4830,3,1,120,30611,4830; 4830X2; 4830X6,"Фотобарабан W1104A для принтеров HP Neverstop 1200 a, 1000a "
2965,3,1,117,37530,2965; 2965X2; 2965X6,"Фотобарабан DK-1150 DU для принтеров Kyocera EcoSys M2040dn,"
0274,3,3,117,7161,0274; 02743; 02744,"Картридж MLT-D101S для принтеров Samsung SCX-3405, SCX-3407,"
2400,2,2,116,21904,2400; 24003,"Картридж TK-5270BK для принтеров Kyocera и EcoSys M6230cidn,"
0119,4,4,115,14065,0119; 01191; 01192; 01192del,"Картридж TK-130 для принтеров Kyocera FS-1128MFP, FS-1300D, "
3641,3,1,113,147313,3641; 3641X2; 3641X6,"Фотобарабан CF257A для принтеров HP LaserJet M433, LJ M436 ч"
5287,5,3,108,57457,5287; 528711; 52877; 5287X2; 5287X6,Картридж T1A для принтеров Deli и M2500AD черный
6851,3,1,106,386489,6851; 6851X2; 6851X6,"Картридж 40STB15 для принтеров F+ Imaging M40adn, M40adn20, "
5339,2,2,105,19548,5339; 53395,"Картридж Q7553A для принтеров HP LaserJet P2015D, LJ M2727nf"
2219,3,1,101,41819,2219; 2219X2; 2219X6,Картридж PR2 для принтеров Olivetti PR2 черный
3264,4,4,99,29132,3264; 326410; 32644; 32648,"Картридж TL-420X для Pantum M6700DW, M6800FDW, M7100DN, M720"
