article;cards_in_group;distinct_external_codes;code;external_code;name;buy_price_rub;ms_id
CLT-K406S/SEE;2;2;;RWd1oPkKinZ7LiNcC4pUa2;К-ж Samsung-hp CLT-K406S/SEE  CLP-360/365/368/CLX-3300 1.5K Black S-print by HP (SU120A);43.362;9b4305d3-3530-11eb-0a80-065300159c91
CLT-K407S/SEE;2;2;;4ryToeNhg7N-59-DsqAVW1;К-ж Samsung CLT-407-серия черный для CLP-320/325/CLX-3185 оригинал CLT-K407S;38.1517;9b2bfcd1-3530-11eb-0a80-065300159c2d
CLT-K407S/SEE;2;2;;Noo0qVzNintPeBFGRSXRR2;Картридж Samsung-HP  CLT-K407S/SEE (SU132A) CLP-320/325/CLX-3185 1.5K Black S-print by HP;54.9198;9b5f066b-3530-11eb-0a80-065300159d05
CLT-K506L/SEE;2;2;;5mZJ1n8lgE-MNrPv0AGZX3;К-ж Samsung CLP-680-серия увеличенный черный CLT-K506L;70.5909;9b1efdfd-3530-11eb-0a80-065300159bf5
CLT-K506L/SEE;2;2;;iX2RD6CZgJELG00L8zv2n2;К-ж SAMSUNG-hp CLT-K506L/SEE черный для CLP-680/CLX-6260 6.0K Black S-print by HP (SU173A);70.5909;9b452fa4-3530-11eb-0a80-065300159c99
CLT-M404S/XEV;2;2;;4OiGBr4ZiqdDK8lzN0E4k3;К-ж Samsung CLT-404-серия пурпурный для SL-C430/C430W/C480/C480W/C480FW оригинал CLT-M404S;37.1;9b21db14-3530-11eb-0a80-065300159c01
CLT-M404S/XEV;2;2;1329-or;hJXArpVZjBcwlNxCj2BSD0;К-ж SAMSUNG-hp CLT-404-серия пурпурный для SL-C430/C430W/C480/C480W/C480FW, S-print by HP (SU242A);37.1;9b3db157-3530-11eb-0a80-065300159c79
CLT-M406S/SEE;2;2;;051CPLTkhQboo7C3U3xjc1;К-ж Samsung CLT-406-серия пурпурный для CLP-360/365/368/CLX-3300/3305  оригинал CLT-M406S;30.093;9b25bc08-3530-11eb-0a80-065300159c11
CLT-M406S/SEE;2;2;0794sf;0794;К-ж Samsung-hp CLT-M406S/SEE  CLP-360/365/368/CLX-3300/05 1.0K Magenta S-print by HP (SU254A);30.093;9b4834a6-3530-11eb-0a80-065300159ca5
CLT-M506L/SEE;2;2;;kQSX0z0yhzZOkHDls8gma1;К-ж Samsung CLP-680-серия увеличенный пурпурный CLT-M506L;64.5213;9b1def63-3530-11eb-0a80-065300159bf1
