offer_id,name,queries,demand,best_pos,mg,in_camp,in_ramp
24832,Картридж для Samsung SL-M4080FX,3,60,18,34.86,True,False
00182,Картридж для Canon FC-128,2,59,25,35.33,True,False
4802X10,"Комплект картриджей PC-211EV XL (10 шт.) на 60000 страниц для принтеров M6500, M6506NW, M6607, P2200, P2207, P2500, P2507",4,58,14,56.17,False,False
1367X10,"Комплект картриджей 106R02773 (10 шт.) на 15000 страниц для принтеров Xerox Phaser 3020, WC 3025",4,57,14,56.16,False,False
20769,Картридж для Ricoh Aficio MP C3503ZSP,3,56,12,34.61,True,False
0718,"Картриджи 718 для принтеров Canon i-SENSYS LBP7200Cdn, LBP7210Cdn, MF724Cdw, MF728Cdw, MF8330, MF8340Cdn",11,56,13,38.17,True,True
47821,Картридж для Epson SureColor P700,8,56,11,35.32,True,False
1044X2,"Комплект картриджей MLT-D203E (2 шт.) на 20000 страниц для принтеров Samsung SL-M3820, SL M3870, SLM4020, SL-M4070",1,56,14,46.17,False,False
0110X2,"Комплект картриджей MLT-D108S (2 шт.) на 3000 страниц для принтеров Samsung ML-1640, ML 1641, ML1645, ML-2240, ML2241",4,56,14,45.65,False,False
0274X2,"Комплект картриджей MLT-D101S (2 шт.) на 3000 страниц для принтеров Samsung ML-2160, ML 2161, ML2162, ML-2165, ML2167, ML 2168, SCX-3400, SCX-3405 SF-760P",4,55,13,45.67,False,False
0048,Картридж 106R01374 для принтеров Xerox Phaser 3250 черный,10,55,12,34.19,True,True
5754,"Картридж TK-101A для принтеров Bulat P1024, TK-101A, WT2K черный",6,55,11,33.75,True,False
2343,"Картридж 106R03488 для принтеров Xerox Phaser 6510, WC 6515 черный",6,55,13,34.44,True,True
0685X2,"Комплект картриджей 3210D (2 шт.) на 60000 страниц для принтеров Ricoh Aficio 2035, 2045, 3035, 3045",2,53,13,46.46,False,False
4817,"Картридж CLT-K607S для принтеров Samsung CLX-9250, CLX-9350 черный",2,53,12,34.45,True,False
1444,"Картриджи CLI-471XL для принтеров Canon Pixma MG5740, Pixma MG6840",10,52,12,39.5,True,True
0276,"Картридж MLT-D105L для принтеров Samsung ML-2540R, ML-2580n, SCX-4600, SCX 4623, SF-650, SF650P, ML 1910, ML-1915, ML 2525, SCX-4623F, ML2540",4,52,14,36.85,True,True
0681X2,"Комплект картриджей 1270D (2 шт.) на 14000 страниц для принтеров Ricoh Aficio 1515, MP161, MP171",1,52,20,42.61,False,False
0683X2,"Комплект картриджей 2320D (2 шт.) на 22000 страниц для принтеров Ricoh Aficio 1022, 1027, 1032, 2022, 2027, 2032, 3025, 3030 MP2352 MP2510 MP3010 MP3053",1,52,13,46.19,False,False
07103,Картридж для Sharp AR-5316,1,51,18,35.23,True,False
0839,"Картридж T1712 для принтеров Epson Expression Home XP-103, XP 207, XP303, XP-306, XP313, XP 323, XP 403, XP406 XP423 голубой",8,51,11,48.1,True,False
5613,"Картриджи TO-910X для принтеров CM9105DN, CM9705DN",3,51,12,33.01,True,False
63619,Фотобарабан для Sharp MX-3050N,1,48,12,33.72,True,False
1278X2,"Комплект картриджей MLT-D111L (2 шт.) на 3600 страниц для принтеров Samsung Xpress M2020, Xpress M2021, SLM2070",1,48,20,46.25,False,False
6180,"Картридж 106R03485 для принтеров Xerox Phaser 6510, WC 6515 голубой",5,48,12,32.01,True,False
6623,"Фотобарабан + картридж 101R00664 DU+106R04348 для принтеров Xerox B-205, B 210, B215 черный",8,48,16,35.45,True,True
0086X6,"Комплект картриджей 725X (6 шт.) на 19200 страниц для принтеров Canon i-SENSYS F-158200, LBP6000, LBP6020, MF3010",6,47,11,54.26,False,False
1367X6,"Комплект картриджей 106R02773 (6 шт.) на 9000 страниц для принтеров Xerox Phaser 3020, WC 3025",5,47,16,54.53,False,False
1114X2,"Комплект фотобарабанов 013R00577 DU (2 шт.) на 54000 страниц для принтеров Xerox WorkCentre 315, WC 415, WCP-315, WCP 320",3,47,11,45.91,False,False
4253X6,"Комплект лент TZe-261 (6 шт.) на 48 метров для принтеров Brother PT-2700, PT 2710, PT2730, PT-3600, PT530, PT 550, PT 9400, PT9500PC PT9700 PT 9800",1,47,22,53.28,False,False
00605,Картридж для Canon i-SENSYS MF-5940dn,4,46,15,43.02,True,True
6383X6,Комплект картриджей TL-C2310H (6 шт.) на 9600 страниц для принтеров BM2300,6,45,17,54.14,False,False
