nm_id;vendor_code;price_2508;price_0709;margin_2508;margin_0709;discount_pct;net_per_unit;qty_sep;qty_aug;revenue_sep;loss_sep;snaps;neg_snaps;in_ads;cpc
883222339;21353PA5KX1H;951.0;1079.0;-5.91;-5.76;59.0;-70.5;0;0;0;0.0;14;8;0;
883219775;21352T94D0L2;951.0;1079.0;-5.91;-5.76;59.0;-70.5;0;0;0;0.0;14;8;0;
313193101;2402NTJHJC3J;877.0;671.0;11.26;-9.2;30.0;-69.97;0;0;0;0.0;14;1;0;
865342004;36742HCJNAWD;1944.0;1944.0;-2.27;-2.96;62.0;-68.35;0;0;0;0.0;14;12;0;
865342639;36743NRP1ZVI;1944.0;1944.0;-2.27;-2.96;62.0;-68.35;0;0;0;0.0;14;12;0;
865343512;36744A85B0GY;1944.0;1944.0;-2.27;-2.96;62.0;-68.35;0;0;0;0.0;14;12;0;
865340394;36741B0FJY5K;1944.0;1944.0;-2.27;-2.96;62.0;-68.35;0;0;0;0.0;14;12;0;
434796069;4856F1JBT73T;6866.0;5515.0;11.81;-0.98;59.0;-68.0;0;0;0;0.0;14;1;0;
881297333;13081ZBCUSBQ;3112.0;1549.0;29.64;-3.74;63.0;-67.18;0;0;0;0.0;14;1;0;
862565636;13201H3NZ30Y;1855.0;1549.0;3.05;-3.74;63.0;-67.18;0;0;0;0.0;14;2;0;
881298301;13082Q6OIC65;3112.0;1549.0;29.64;-3.74;63.0;-67.18;0;0;0;0.0;14;1;0;
313190055;2195RQHAKD75;1794.0;1119.0;22.02;-5.22;60.0;-66.21;0;0;0;0.0;14;1;0;
323200050;2967E6PLL31O;1844.0;1119.0;19.18;-5.22;60.0;-66.21;0;0;0;0.0;14;1;0;
323283359;2906RF7TT2I6;7695.0;4071.0;30.07;-1.36;61.0;-65.75;0;0;0;0.0;14;2;0;
323132558;1972YSR5PKPU;3636.0;4071.0;-6.08;-1.36;61.0;-65.75;0;0;0;0.0;14;9;0;
861264895;04427VI4XTS9;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861269968;044211SWLTXV;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861268994;044210PSQMZX;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861268159;04429DWTIX6H;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861267287;04428XO49TFU;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861263617;04426YOOUPL1;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861262948;04425M5IJNYU;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861262129;04424WMENQC2;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861261256;04423K8EZC5D;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861260035;04422H2TLPC4;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
861258654;04421RNUQXXS;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
877847216;044212UBABF8;999.0;1155.0;-7.51;-4.89;61.0;-64.1;0;0;0;0.0;14;2;0;
323215346;4480FA6W01RV;4945.0;5131.0;-0.83;-1.0;61.0;-63.86;0;0;0;0.0;14;5;0;
874751978;02321LRE30OL;972.0;473.0;27.7;-11.88;0.0;-63.79;0;0;0;0.0;14;1;0;
874762346;02326RGURMHE;972.0;473.0;27.7;-11.88;0.0;-63.79;0;0;0;0.0;14;1;0;
874762807;02327F7W658H;972.0;473.0;27.7;-11.88;0.0;-63.79;0;0;0;0.0;14;1;0;
874760977;02325IRZ25L1;972.0;473.0;27.7;-11.88;0.0;-63.79;0;0;0;0.0;14;1;0;
874753100;02323FU8WSXL;972.0;473.0;27.7;-11.88;0.0;-63.79;0;0;0;0.0;14;1;0;
874763854;02328TW5L02R;972.0;473.0;27.7;-11.88;0.0;-63.79;0;0;0;0.0;14;1;0;
323263724;0983OENC5Q23;1797.0;921.0;24.77;-6.06;51.0;-63.31;0;0;0;0.0;14;1;0;
313214790;0795CH4TOCMH;1198.0;1158.0;1.84;-4.82;61.0;-63.27;0;0;0;0.0;14;1;1;10.9
313214867;2174ZZCC15WU;631.0;728.0;-9.76;-7.65;24.0;-63.16;0;0;0;0.0;14;3;0;
862504352;11572SH7IJ4U;2140.0;1203.0;24.53;-4.62;60.0;-63.05;0;0;0;0.0;14;1;0;
862503832;11571VHK5BO4;2140.0;1203.0;24.53;-4.62;60.0;-63.05;0;0;0;0.0;14;1;0;
313195774;5290YO7ZRXNM;2015.0;1818.0;-2.11;-2.88;60.0;-62.17;0;0;0;0.0;14;3;1;7.3
862440500;07381ST06FTL;1711.0;1713.0;-0.97;-3.03;61.0;-61.77;0;0;0;0.0;14;10;0;
862441146;07382ORSKDVS;1711.0;1713.0;-0.97;-3.03;61.0;-61.77;0;0;0;0.0;14;10;0;
323137226;3401FACKSWIH;1160.0;1247.0;-1.92;-4.29;61.0;-60.73;0;0;0;0.0;14;12;0;
865153630;23593J1CY35H;1866.0;1040.0;25.93;-5.14;56.0;-60.62;0;0;0;0.0;14;1;0;
865154397;23594AU0U18T;1866.0;1040.0;25.93;-5.14;56.0;-60.62;0;0;0;0.0;14;1;0;
865152918;23592ITHRNMK;1866.0;1040.0;25.93;-5.14;56.0;-60.62;0;0;0;0.0;14;2;0;
323314086;3371KZDM61X8;984.0;1110.0;-4.71;-4.78;59.0;-60.11;0;0;0;0.0;14;2;0;
883525148;23653KHFCQ6J;878.0;987.0;-7.6;-5.34;55.0;-59.75;0;0;0;0.0;14;2;0;
883526458;23655UTCOO96;878.0;987.0;-7.6;-5.34;55.0;-59.75;0;0;0;0.0;14;2;0;
313189535;2312VIUE4G4T;1818.0;2163.0;13.74;-2.32;69.0;-59.7;0;0;0;0.0;14;1;0;
865037569;21251X76DBSM;1814.0;1829.0;-1.14;-2.74;62.0;-59.6;0;0;0;0.0;14;9;1;10.9
867087954;23713JWVPFKZ;1117.0;1215.0;0.78;-4.32;60.0;-59.56;0;0;0;0.0;14;1;0;
867090455;23714ZR1PX55;1117.0;1215.0;0.78;-4.32;60.0;-59.56;0;0;0;0.0;14;1;0;
861585873;05252K7J2XTY;707.0;819.0;-10.66;-6.34;43.0;-58.92;0;0;0;0.0;14;2;0;
861585234;05251SY7AURY;707.0;819.0;-10.66;-6.34;43.0;-58.92;0;0;0;0.0;14;2;0;
608495686;6776AELJ45X5;20051.0;10434.0;30.95;-0.45;61.0;-58.14;0;0;0;0.0;14;1;0;
323201252;4199PQZ5D8ZW;13808.0;4157.0;36.74;-1.17;61.0;-57.98;0;0;0;0.0;14;1;0;
313184298;1380J789BERY;792.0;976.0;-6.93;-5.21;54.0;-57.72;0;0;0;0.0;14;2;0;
313190624;1098NMXVDAQL;786.0;892.0;-5.58;-5.66;47.0;-57.25;0;0;0;0.0;14;2;0;
887348736;55521LHQMG32;1912.0;1976.0;-3.23;-2.44;60.0;-57.2;0;0;0;0.0;14;4;0;
887351999;55522RIFR38V;1912.0;1976.0;-3.23;-2.44;60.0;-57.2;0;0;0;0.0;14;4;0;
323242902;3364IB7BU310;1870.0;1737.0;2.32;-2.74;61.0;-56.57;0;0;0;0.0;14;2;0;
324981295;2169JTCQ9JPT;1797.0;1013.0;22.13;-4.91;56.0;-56.38;0;0;0;0.0;14;1;0;
323242536;2170LI08E6CE;1797.0;1013.0;22.13;-4.91;56.0;-56.38;0;0;0;0.0;14;1;0;
874800055;02499ND9631P;934.0;977.0;2.42;-5.03;58.0;-55.78;0;0;0;0.0;14;1;1;10.9
874801315;024910HD3T1P;892.0;977.0;-0.27;-5.03;58.0;-55.78;0;0;0;0.0;14;2;0;
880571388;11441VQUY8GM;1040.0;1151.0;-2.83;-4.25;60.0;-55.45;0;0;0;0.0;14;3;0;
323329021;4240KFSAJHPR;3980.0;3651.0;-0.55;-1.27;65.0;-54.92;0;0;0;0.0;14;2;0;
885358778;34542GDJ1Y83;2575.0;1320.0;28.78;-3.56;61.0;-54.52;0;0;0;0.0;14;1;0;
885358645;34541CXR8IO5;2575.0;1320.0;28.78;-3.56;61.0;-54.52;0;0;0;0.0;14;1;0;
885358997;34543P28T287;2575.0;1320.0;28.78;-3.56;61.0;-54.52;0;0;0;0.0;14;1;0;
313193232;2634U6GP0D6J;1829.0;1890.0;4.09;-2.41;61.0;-54.03;0;0;0;0.0;14;1;1;10.9
879554099;07344C1YXTKI;682.0;824.0;-11.25;-5.76;42.0;-53.83;0;0;0;0.0;14;2;0;
882844805;24928C15YNRV;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
878195516;24923PYLZ8UV;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
878197192;24924WK8ECTG;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
862559633;13061KIBMGJV;1779.0;1667.0;4.35;-2.77;62.0;-53.53;0;0;0;0.0;14;1;0;
882840016;24925OH2ALBZ;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
883979128;249211VJVZRF;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
883980070;249212N5Q0IM;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
882845336;249210R2HHFD;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
878189550;24921IMUGBOY;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
882845065;24929Q4B3M8Z;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
882844359;24926Y1G01X8;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
882844477;24927KQ1PJRV;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
878191442;24922ZLQXZXN;1706.0;1751.0;-3.47;-2.57;61.0;-53.53;0;0;0;0.0;14;12;0;
323344151;3241VTMKZZ5N;10889.0;5348.0;30.48;-0.78;63.0;-52.96;0;0;0;0.0;14;2;0;
323266580;0516JHJGJY0K;1698.0;1131.0;20.13;-4.11;59.0;-52.72;0;0;0;0.0;14;1;0;
323108010;0157IGA32SZD;371.0;209.0;17.89;-22.97;76.0;-52.2;0;0;0;0.0;14;1;0;
883250059;21641N8OQXSA;1168.0;1207.0;-0.96;-3.75;59.0;-51.36;0;0;0;0.0;14;2;0;
861583658;05151QOB0DSN;1541.0;994.0;16.97;-4.51;54.0;-50.89;0;0;0;0.0;14;1;0;
323329510;5287VWVGQN1E;1803.0;1782.0;5.43;-2.37;59.0;-50.2;0;2;0;0.0;14;2;0;
865701456;52876CKJOOON;1758.0;1782.0;-6.99;-2.37;59.0;-50.2;0;1;0;0.0;14;2;0;
