тир;подтверждение;кабинет;артикул;nmID;тип;тек_ВБ_ДхШхВ;тек_объём_л;нов_ДхШхВ;нов_объём_л;занижение_раз;дельта_л;источник;название
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;4002HJNKM706;323223422;ребёнок;10x10x8;0.8;11.4x5.6x32;2.04;2.55;1.24;наследование от 4002 (веб-оригинал);Картридж DS №81 для HP DJ 5000, DJ 5500 светло-голубой
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;4000;209712453;мать;10x10x8;0.8;11.4x5.6x32;2.04;2.55;1.24;веб-оригинал;Картридж №81 для HP DJ 5000, DJ 5500 желтый
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;4000RJ799IU6;323226904;ребёнок;10x10x8;0.8;11.4x5.6x32;2.04;2.55;1.24;наследование от 4000 (веб-оригинал);Картридж DS №81 для HP DJ 5000, DJ 5500 желтый
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Цифровой квадрат;4003;209729767;мать;10x10x8;0.8;11.4x5.6x32;2.04;2.55;1.24;веб-оригинал;Картридж №81 для HP DJ 5000, DJ 5500 светло-пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;веб-оригинал;Дисквэр;4003DIH30UB4;323226935;ребёнок;10x10x8;0.8;11.4x5.6x32;2.04;2.55;1.24;наследование от 4003 (веб-оригинал);Картридж DS №81 для HP DJ 5000, DJ 5500 светло-пурпурный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7133;1284228601;мать;12x13x14;2.18;33.1x9.6x16.8;5.34;2.44;3.15;sakura(согл.2);Заправочный комплект W2070A-W2073A
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;4264;209731215;мать;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж 006R01701 для Xerox C8030, C8035, C8045 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;42643;437224954;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8035
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;42645;967411004;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8055
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;42646;209763128;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8070
