account,sku,offer_id,name,campaign,bid_now,ceiling,margin_pct,qty_90d,revenue_90d,reason
oz_acc2,1882830517,1082O2WPJ22C,Картриджи DS 006R01517-006R01520 для принтеров Xerox WorkCen,Все,8.0,153.5,23.1,0,0,маржа ниже KPI
oz_acc2,1882830907,3608IRM9INQ2,"Картриджи DS 045 для принтеров Canon i-SENSYS LBP-611, LBP61",Все,8.0,46.8,24.7,0,0,маржа ниже KPI
oz_acc2,1883108656,4312F44HK3QD,Картриджи DS TN-328K-TN-328C для принтеров Konica Minolta Bi,Все,8.0,385.6,23.9,3,69877,маржа ниже KPI
oz_acc2,1883108656,4312F44HK3QD,Картриджи DS TN-328K-TN-328C для принтеров Konica Minolta Bi,10000-500000,12.0,385.6,23.9,3,69877,маржа ниже KPI
oz_acc2,1883111479,0930QUMSBE90,"Картридж DS T2633 для принтеров Epson Expression XP-510, XP ",Все,8.0,4.9,20.8,0,0,маржа ниже KPI
oz_acc2,1883113573,3755JTXAHO02,"Чернила DS GI-490PGBK для принтеров Canon Pixma G1400, Pixma",Все,8.0,7.6,24.3,0,0,маржа ниже KPI
oz_acc2,1883113573,3755JTXAHO02,"Чернила DS GI-490PGBK для принтеров Canon Pixma G1400, Pixma",от 0 до 3000,10.0,7.6,24.3,0,0,маржа ниже KPI
oz_acc2,1883113924,1219IJ99QWDA,"Картридж DS LC525XLC для принтеров Brother DCP-J100, DCP J10",Все,8.0,4.9,19.5,1,767,маржа ниже KPI
oz_acc2,1883114841,3642EL3SV1WT,Фотобарабан DS DK-5230 DU для принтеров Kyocera Ecosys M5521,Все,8.0,279.1,24.6,0,0,маржа ниже KPI
oz_acc2,1883118545,1717Z50W8JA8,"Картридж DS TK-865Y для принтеров Kyocera TASKalfa 250ci, TA",Все,8.0,175.7,24.7,0,0,маржа ниже KPI
oz_acc2,1883119607,2793XIOY0XF5,"Картридж DS MLT-K606S для принтеров Samsung SCX-8030, SCX 80",Все,8.0,158.2,24.6,0,0,маржа ниже KPI
oz_acc2,1883120532,3404YA83H1GT,"Картриджи DS 054 для принтеров Canon i-SENSYS LBP-620, LBP 6",Все,8.0,173.6,23.8,0,0,маржа ниже KPI
oz_acc2,1883127205,0888W9J09A5O,"Картридж DS CF380X для принтеров HP Color LJ Pro MFP M476DN,",Все,8.0,54.1,22.9,0,0,маржа ниже KPI
oz_acc2,1883127205,0888W9J09A5O,"Картридж DS CF380X для принтеров HP Color LJ Pro MFP M476DN,",от 0 до 3000,12.0,54.1,22.9,0,0,маржа ниже KPI
oz_acc2,1883127281,1220AOXP1G5F,"Картридж DS LC525XLM для принтеров Brother DCP-J100, DCP J10",Все,9.0,6.1,23.1,1,673,маржа ниже KPI
oz_acc2,1883128687,1351BKFQWOJQ,Картридж DS 106R01400 для принтеров Xerox Phaser 6280 голубо,Все,8.0,160.6,24.6,0,0,маржа ниже KPI
oz_acc2,1883128699,0928YX6XWI19,"Картридж DS T2631XL для принтеров Epson Expression XP-510, X",Все,8.0,5.7,22.1,0,0,маржа ниже KPI
oz_acc2,1883128699,0928YX6XWI19,"Картридж DS T2631XL для принтеров Epson Expression XP-510, X",от 0 до 3000,12.0,5.7,22.1,0,0,маржа ниже KPI
oz_acc2,1883129031,0841H8FY7SGV,Картридж DS T1714 для принтеров Epson Expression Home XP-103,Все,8.0,4.0,19.6,1,448,маржа ниже KPI
oz_acc2,1883129279,2275WA6T93KD,Картриджи DS 113R00726-113R00723 для принтеров Xerox Phaser ,Все,8.0,717.4,24.8,0,0,маржа ниже KPI
oz_acc2,1883129419,0931VGC88A6A,"Картридж DS T2634 для принтеров Epson Expression XP-510, XP ",Все,6.0,4.9,20.8,0,0,маржа ниже KPI
oz_acc2,1883129589,3756Y1DLLA0Y,"Чернила DS GI-490C для принтеров Canon Pixma G1400, PixmaG14",Все,8.0,5.9,22.2,0,0,маржа ниже KPI
oz_acc2,1883131155,1077RGA2A4PT,Картриджи DS 006R01449-006R01452 для принтеров Xerox Phaser ,Все,8.0,427.1,22.0,0,0,маржа ниже KPI
oz_acc2,1883131556,2053PAMXQUF5,Картридж DS MP2500 черный,Все,8.0,14.9,24.9,0,0,маржа ниже KPI
oz_acc2,1883132374,5089AHWCUNF7,Фотобарабан DS DR-214K для принтеров Konica Minolta Bizhub C,5000-10000,13.0,156.6,24.7,0,0,маржа ниже KPI
oz_acc2,1883133078,4436L5YGI4WD,"Картридж DS T01D2 для принтеров Epson WorkForce Pro C529R, W",Все,8.0,692.0,22.6,0,0,маржа ниже KPI
oz_acc2,1883133652,3634C1QVM1NG,Картриджи DS TK-5215 для принтеров Kyocera TASKalfa 406,Все,8.0,609.5,21.8,0,0,маржа ниже KPI
oz_acc2,1883134081,4181DN0IN78P,"Картридж DS W9005MC для принтеров HP LaserJet E72525, LJ-E72",Все,9.0,255.3,24.5,0,0,маржа ниже KPI
oz_acc2,1883134176,4419O5SBHU1M,"Чернила DS GI-40C для принтеров Canon Pixma G5040, Pixma G60",Все,8.0,7.1,24.5,0,0,маржа ниже KPI
oz_acc2,1883134379,1550R9P2HBDH,"Картридж DS №934XL для принтеров HP OfficeJet Pro 6230, Offi",от 0 до 3000,12.0,9.9,26.7,0,0,ставка выше потолка
oz_acc2,1883134729,0836D7SF7FEY,"Картридж DS T029 для принтеров Epson Stylus C60, Stylus C61 ",Все,6.0,2.0,14.3,0,0,маржа ниже KPI
oz_acc2,1883134729,0836D7SF7FEY,"Картридж DS T029 для принтеров Epson Stylus C60, Stylus C61 ",от 0 до 3000,10.0,2.0,14.3,0,0,маржа ниже KPI
oz_acc2,1883134941,1450D7H61V4D,"Картридж DS CLI-471XLY для принтеров Canon Pixma MG5740, Pix",Все,8.0,6.7,24.6,1,691,маржа ниже KPI
oz_acc2,1883135884,0824C3A2SQVB,"Картридж DS T028 для принтеров Epson C60, C61, CX3100 черный",Все,6.0,1.9,13.8,0,0,маржа ниже KPI
oz_acc2,1883135884,0824C3A2SQVB,"Картридж DS T028 для принтеров Epson C60, C61, CX3100 черный",от 0 до 3000,10.0,1.9,13.8,0,0,маржа ниже KPI
oz_acc2,1883136381,2364O5HWBZPB,Картриджи DS CF410X-CF413X для принтеров HP LJ Color Pro M37,Все,8.0,131.4,24.7,0,0,маржа ниже KPI
oz_acc2,1883136396,1261JP6AYX3Z,Картридж DS T0598 для принтеров Epson Stylus Photo R2400 чер,Все,8.0,2.0,14.3,0,0,маржа ниже KPI
oz_acc2,1883136396,1261JP6AYX3Z,Картридж DS T0598 для принтеров Epson Stylus Photo R2400 чер,от 0 до 3000,12.0,2.0,14.3,0,0,маржа ниже KPI
oz_acc2,1883137849,3754O011AR0W,"Картриджи DS 46861324-46861321 для принтеров OKI C834, C844",Все,8.0,547.3,24.8,0,0,маржа ниже KPI
oz_acc2,1883138257,1795UQBEY4HA,"Фотобарабан DS 44064010 DU для принтеров OKI C 810, C 821, C",Все,8.0,364.5,24.9,0,0,маржа ниже KPI
oz_acc2,1883138257,1795UQBEY4HA,"Фотобарабан DS 44064010 DU для принтеров OKI C 810, C 821, C",5000-10000,12.0,364.5,24.9,0,0,маржа ниже KPI
oz_acc2,1883138385,0596C0F9D6D2,"Картридж DS LC-1100C для принтеров Brother DCP-145C, DCP 163",Все,7.0,6.7,23.4,0,0,маржа ниже KPI
oz_acc2,1883139032,2549GH33D17O,Картридж DS 43837135 для принтеров OKI Data-C9655 голубой,Все,8.0,378.1,24.8,0,0,маржа ниже KPI
oz_acc2,1883139348,3840P9UWJ2ZR,"Чернила DS BT6000BK для принтеров Brother DCP-T300, DCP T500",Все,7.0,6.9,23.5,0,0,маржа ниже KPI
