external_code;article;название;источник_возврата
1246;1503-1, SF-T0343M;Картридж T0343 M SF;
1247;1502-1, SF-T0344Y;СРОЧНО Картридж T0344 Y CT;
1248;1504-1, SF-T0345LC;Картридж T0345 LC CT;
1249;1505-1, SF-T0346LM;Картридж T0346 LM SF;
1250;1510-1, SF-T0347Gy;Картридж Epson T0347 Stylus Photo 2100 16ml Grey SuperFine;
1251;1511-1, SF-T0348MBk;Картридж T0348 BkM SF;
1254;10054-1, BS-T0591, SF-T0591Bk;Совместимый картридж SuperFine T0591;
1256;10102-1, BS-T0593, SF-T0593M;Blossom BS-T0593 Струйный картридж для Epson R2400 Magenta;
1257;10103-1, BS-T0594, SF-T0594Y;Картридж EPSON T0594Y R2400 Yellow SuperFine;
1258;10104-1, BS-T0595, SF-T0595LC;Картридж T0595 LC CT;
1259;10105-1, BS-T0596, SF-T0596LM;Совместимый картридж SuperFine T0596;
1260;10106-1, BS-T0597, CS-EPT0597, PL_T0597_G;Картридж струйный Cactus CS-EPT0597 серый (14.8мл) для Epson Stylus Photo R2400;
1261;10107-1, BS-T0598, SF-T0598MBk;Картридж EPSON T0598MBk R2400 MatteBlack SuperFine;
1262;1451-1, AT-T0791Bk, BS-T0791, CS-EPT0791;Blossom BS-T0791 Струйный картридж для Epson Stylus Photo 1400/PX650/660/700W/710W/720WD/8;
1263;19940, AT-T0792C, BS-T0792, CS-EPT0792;Картридж Epson T0792 Stylus Photo 1400/PX650/660/700W/710W/720WD/800FW/810FWD Cyan SuperFi;
1264;21682, AT-T0793M, BS-T0793, CS-EPT0793;Картридж для Epson T0793 Stylus Photo 1400/PX650/660/700W/800FW Magenta AQUAMARINE (Совмес;
1265;10079-1, AT-T0794Y, BS-T0794, CS-EPT0794;Картридж T0794 Yellow CT;
1266;114785, AT-T0795LC, BS-T0795, CS-EPT0796;Картридж Epson T0795 Stylus Photo 1400/PX650/660/700W/710W/720WD/800FW/810FWD LightCyan Su;
1267;114786, AT-T0796LM, BS-T0796, CS-EPT0795;Картридж T0796 Light Magenta BS;
1270;1595-1, BS-10N0016, CS-LX16, SF-10N0016;Картридж струйный Colortek Lexmark 10N0016 bk [16];
1271;1596-1, SF-10N0026, UJ-10N0026;Картридж 10N0026 Col UJ;
1272;1591-1, SF-12A1970;Совместимый картридж Colortek 12A1970;
1273;SF-15M0120;Картридж Lexmark 15M0120 P122/Z42/Z43/Z45/Z45se/Z51/Z52/Z53/Z54/Z705/Z707 №20  color  Supe;
1326;NV-T320;Тонер-туба NVP совместимый Ricoh T-320;
1332;NV-ARM621;Картридж NVP совместимый Sharp AR-M621 2014/2114/2214;
1334;BS-X013R00624, CS-DU7328, EFRXWC7228020, NV-013R00624DU;Драм-картридж Smart Graphics 013R00624 для Xerox Workcentre 7228, 7328 (Цветной, 42000 стр;
1337;118329, BFRXWC7228020, BS-X006R01176, CS-WC7328C;Тонер-картридж 006R01176 Cyan 16000 копий GalaPrint;
1338;118330, BFRXWC7228030, BS-X006R01177, CS-WC7328M;Тонер-картридж 006R01177 Magenta 16000 копий GalaPrint;
1339;118331, BFRXWC7228040, BS-X006R01178, CS-WC7328Y;Тонер-картридж 006R01178 Yellow 16000 копий GalaPrint;
1340;BS-X006R01319, CS-WC7132BK, EFRXWC7132010, NV-006R01319Bk;Картридж лазерный Cactus CS-WC7132BK 006R01319 черный (24000стр.) для Xerox WC 7132/7232/7;
1345;NV-006R90224;Картридж NVP совместимый Xerox 006R90224;
1351;131007, BS-X106R01400, NV-106R01400C, SF-106R01400;Картридж Colortek Xerox 106R01400 Cyan (6280);
1352;131008, BS-X106R01401, CS-PH6280MR, GP_106R01401_M;Картридж лазерный Cactus CS-PH6280MR 106R01401 пурпурный (5900стр.) для Xerox Phaser 6280;
1353;131009, BS-X106R01402, CS-PH6280Y, CS-PH6280YR;Картридж лазерный Cactus CS-PH6280YR 106R01402 желтый (5900стр.) для Xerox Phaser 6280;
1354;131006, BS-X106R01403, NV-106R01403Bk, SF-106R01403;Картридж Colortek Xerox 106R01403 Black (6280);
1373;1421-1, BS-HPC3909A, NV-C3909A;Картридж NVP совместимый HP C3909A;
1374;16362, NV-C4149A;Картридж Colortek HP C4149A Bk;
1379;BS-HPCF228X, NV-CF228X, WB CF228X;Картридж NVP совместимый NV-CF228X;
1384;123794, BFCN0MF623050, NV-CF210X/731Bk, OEM CRG731Bk;Картридж Canon 731 LBP-7100/7110/MF-8230/8280 2.4K Black Compatible;
1385;11766, BS-EPLS051158, SF-S051158, SP119497;Картридж Colortek Epson C13S051158 C2800 Yellow;
1386;11767, BS-EPLS051159, SF-S051159, SP119496;Картридж Colortek Epson C13S051159 C2800 Magenta;
1387;11768, BS-EPLS051160, SF-S051160, SP119495;Картридж Epson C13S051160 AcuLaser 2800 Cyan 6K SuperFine;
1388;11769, BS-EPLS051161, SF-S051161, SP119494;Цветной тонер картридж S051161 Bk SP;
1390;BS-EPLS050582, SF-S050582;Картридж Epson LS050582 для AcuLaser M2400/M2300/MX20, 8000 стр.,Blossom;
1396;126960, NV-TN320TC;Картридж NVP совместимый NV-TN-320T Cyan;
1397;126961, NV-TN320TM;Картридж NVP совместимый NV-TN-320T Magenta;
1398;126962, NV-TN320TY;Картридж TN-320Y NV;
1399;126959, NV-TN320TBk;Картридж NVP совместимый NV-TN-320T Black;
1400;113514, BS-TK150K, SF-TK150Bk;Картридж Kyocera TK150Bk FS-C1020MFP 6.5K Black SuperFine;
1401;113509, BS-TK150C, SF-TK150C;Картридж Kyocera Mita TK-150C для FS-C1020MFP/FS-C1020MFP+, cyan 6000 стр. Blossom;
1402;113510, BS-TK150M, PL_TK-150M_M, SF-TK150M;Тонер-туба TK-150M Magenta 6000 копий ProfiLine;
1403;113512, BS-TK150Y, PL_TK-150Y_Y, SF-TK150Y;Картридж Kyocera TK150Y FS-C1020MFP 6K Yellow SuperFine;
1408;129429, BAMTFSC540020, BS-TK570C, GP_TK-570C_C_WC;Картридж TK-570 C CT;
1409;129428, BAMTFSC540010, BS-TK570K, GP_TK-570K_BK_WC;Тонер-туба TK-570K с бункером отработанного тонера Black 16000 копий ProfiLine;
1411;129431, BAMTFSC540040, BS-TK570Y, GP_TK-570Y_Y_WC;Картридж Kyocera TK570Y P7035/C5400 12K Yellow SuperFine;
1421;BS-44059209;Тонер-картридж OKI 44059209 для MC860, Y, 10K, Blossom;
1422;BS-44059210, SF-OKI860M;Картридж OKI 860 44059210 Magenta 10K SuperFine;
1423;BS-44059211, SF-OKI860C;Картридж OKI 860 44059211 Cyan 10K SuperFine;
1424;BS-44059212, SF-OKI860Bk;Картридж OKI MC860, toner, black, 9500 стр., Blossom;
1426;SF-B430;Картридж OKI B430/430d/430dn/440/MB460/470/480 43979202 7K SuperFine;
1428;SF-B4600;Картридж OKI B4600/4600N 43502001 7K SuperFine;
1431;BS-Lx34016HE, SF-34016HE;Картридж Lexmark E330 34016HE 6K SuperFine;
1432;CS-LX36, SF-E360A21E, SP137554, SP137554_MSK;Картридж лазерный Cactus CS-LX36 E360H11E черный (9000стр.) для Lexmark Optra E360/E460/E3;
1433;SP45439, SP45439_MSK;Тонер Картридж E450H21E SP;
1451;5233580000, BS-PFI-703Bk, SF-PFI703Bk;Струйный картридж Canon PFI-703Bk для ImagePrograf iPF810/iPF815/iPF820/iPF825, Bk, 700мл,;
1452;5233610000, BS-PFI-703C, SF-PFI703C, SF-PRI703C;Картридж для CANON  PFI-703C IPF 810/ 815/ 820/ 825 Cyan (700ml) Т/У MyInk;
1453;5233590000, BS-PFI-703M, SF-PFI703M;Картридж для CANON  PFI-703M IPF 810/ 815/ 820/ 825 Magenta (700ml) Т/У MyInk;
1454;5233620000, 5233720000, BS-PFI-703MBK;Картридж для CANON  PFI-703MBK IPF 810/ 815/ 820/ 825 Matte Black (700ml, Pigment)  MyInk;
1455;5233600000, BS-PFI-703Y, SF-PFI703Y;Картридж для CANON  PFI-703Y IPF 810/ 815/ 820/ 825 Yellow (700ml) Т/У MyInk;
1461;CS-LX34, SF-18C0034;Картридж 18C0034 (№34), черный CS;
1463;SF-18C0781;Совместимый картридж SuperFine 18C0781;
1464;SF-18C1528E;Картридж 18C1528E (№28) BK SF;
1465;SF-18C1529;Картридж Lexmark 18C1529E X2500/30/50/ X5070 /75/X5490/95/Z1300/10/20/Z845  color №29 15ml;
1470;CS-LC225XLC;Картридж LC-225XL C CS;
1471;CS-LC225XLM;Картридж LC-225XL M CS;
1472;CS-LC225XLY;Картридж LC-225XL Y CS;
1473;CS-LC227XLBK;Картридж LC-227XL Bk CS;
1479;AT-CLI526BK, CS-CLI526BK, PL_CLI-526BK_BK, SF-CLI526Bk;Картридж Canon CLI-526 до 05.2024 PIXMA-MX715/MX885/MX895/ip4850/ip4950 9ml Black SuperFin;
1480;AT-CLI526M, CS-CLI526M, PL_CLI-526M_M, SF-CLI526M;Картридж Canon CLI-526 до 05.2024 PIXMA-MX715/MX885/MX895/ip4850/ip4950 9ml Magenta SuperF;
1481;AT-CLI526Y, CS-CLI526Y, PL_CLI-526Y_Y, SF-CLI526Y;Картридж Canon CLI-526 до 05.2024 PIXMA-MX715/MX885/MX895/ip4850/ip4950 9ml Yellow SuperFi;
1482;AT-CLI526C, CS-CLI526С, PL_CLI-526C_C, SF-CLI526C;Картридж CLI-526C, голубой PL;
1491;5215240000, BS-PGI-29C;Blossom BS-PGI-29C Струйный картридж для Canon Pixma PRO-1, голубой;
1492;5215300000, BS-PGI-29CO;Blossom BS-PGI-29CO Струйный картридж для Canon Pixma PRO-1, оптимизатор глянца;
1493;5215210000, BS-PGI-29DGY, CS-PGI29DGY;Картридж для CANON PGI-29DGY PIXMA PRO-1 Dark Gray MyInk;
1494;5215220000, BS-PGI-29GY;Картридж для CANON PGI-29GY PIXMA PRO-1 Gray MyInk;
1495;5215230000, BS-PGI-29LGY;Blossom BS-PGI-29LGY Струйный картридж для Canon Pixma PRO-1, светло-серый;
1496;5215260000, BS-PGI-29M, CS-PGI29M;Картридж для CANON PGI-29M PIXMA PRO-1 Magenta MyInk;
1497;5215200000, BS-PGI-29MBK, CS-PGI29MBK;Картридж PGI-29MBk черный матовый CS;
1498;5215400000, BS-PGI-29PBK, CS-PGI29PBK;Картридж PGI-29PBk, фото-черный CS;
1499;5215250000, BS-PGI-29PC, CS-PGI29PC;Картридж для CANON PGI-29PC PIXMA PRO-1 Photo Cyan  MyInk;
1500;5215270000, BS-PGI-29PM, CS-PGI29PM;Blossom BS-PGI-29PM Струйный картридж для Canon Pixma PRO-1, фото-пурпурный;
1501;5215290000, BS-PGI-29R, CS-PGI29R;Картридж для CANON PGI-29R PIXMA PRO-1 Red MyInk;
1502;5215280000, BS-PGI-29Y, CS-PGI29Y;Blossom BS-PGI-29Y Струйный картридж для Canon Pixma PRO-1, желтый;
1504;AT-PGI7BK, BS-PGI-7BK;Blossom BS-PGI-7BK Струйный картридж для Canon PIXMA MX7600/iX7000, Black;
1505;AT-PGI9C, BS-PGI-9C;Картридж для Canon PGI-PGI9C PIXMA-iX7000/MX7600/Pro9500 Cyan AQUAMARINE (Совместимый);
1506;AT-PGI9G, BS-PGI-9G;Картридж для Canon PGI-PGI9G PIXMA-Pro9500 Green AQUAMARINE (Совместимый);
1507;AT-PGI9GY, BS-PGI-9GY;Картридж для Canon PGI-PGI9GY PIXMA-Pro9500 Gray AQUAMARINE (Совместимый);
1508;AT-PGI9M, BS-PGI-9M;Картридж для Canon PGI-PGI9M PIXMA-iX7000/MX7600/Pro9500 Magenta AQUAMARINE (Совместимый);
1509;AT-PGI9MBK, BS-PGI-9MBK;Картридж для Canon PGI-PGI9MBK PIXMA-Pro9500 Matte Black AQUAMARINE (Совместимый);
1510;AT-PGI9PBK, BS-PGI-9PBK;Картридж PGI-9PBk BS;
1511;AT-PGI9PС, BS-PGI-9PC;Картридж для Canon PGI-PGI9PС PIXMA-Pro9500 Photo Cyan AQUAMARINE (Совместимый);
1512;AT-PGI9PM, BS-PGI-9PM;Картридж для Canon PGI-PGI9PM PIXMA-Pro9500 Photo Magenta AQUAMARINE (Совместимый);
1513;AT-PGI9R, BS-PGI-9R;Картридж для Canon PGI-PGI9R PIXMA-Pro9500 Red AQUAMARINE (Совместимый);
1514;AT-PGI9Y, BS-PGI-9Y;Картридж для Canon PGI-PGI9Y PIXMA-iX7000/MX7600/Pro9500 Yellow AQUAMARINE (Совместимый);
1520;CS-CARTRIDGEM, NV-Canon M;Картридж Cartridge-M CS;
1521;1434, EP-25;Canon EP-25 Картридж для LBP-1210, 2500стр.;
1522;CS-EP25X;Картридж EP-25X CS;
1523;CS-EP32;Картридж лазерный Cactus CS-EP32 черный (5000стр.) для Canon LBP 32/470/1000/1310;
1524;CS-EP52;Картридж лазерный Cactus CS-EP52 черный (10000стр.) для Canon LBP 1750/1760/1760E/1760N;
1530;1532-1, CS-EPT0501, SP26250, SP26250_MSK;Картридж струйный Cactus CS-EPT0501 черный (11.4мл) для Epson Stylus Color 400/440/460/500;
1533;111681, 5229480000, BS-T1032, CS-EPT1032;Струйный картридж T1032 с чернилами на водной основе Cyan 11,1 мл ProfiLine;
1537;5229340000, BS-T1632, CS-EPT1632, PL_T1632_C;Картридж T1632 голубой CS;
1538;5229350000, BS-T1633, CS-EPT1633, PL_T1633_M;Струйный картридж T1633 с чернилами Magenta ProfiLine;
1539;5229360000, BS-T1634, CS-EPT1634, PL_T1634_Y;Картридж для (T1634) EPSON WorkForce WF-2010/2510/2520/2540 Yellow MyInk;
1576;BS-HPC8550A, CS-C8550AR, OEM C8550A;Картридж HP C8550A CLJ-9500 Black Compatible;
1578;CS-C8552AR, GP_C8552A_Y;Картридж лазерный Cactus CS-C8552AR желтый (25000стр.) для HP CLJ 9500;
1581;121089, CS-Q6460AR, GP_Q6460A_BK, NV-Q6460ABk;Картридж лазерный Cactus CS-Q6460AR Q6460A черный (12000стр.) для HP CLJ 4730;
1582;121090, CS-Q6461AR, NV-Q6461AC, PL_Q6461A_C;Картридж Q6461A (№644A) Cyan 12000 копий ProfiLine;
1583;121091, CS-Q6462AR, NV-Q6462AY, WB Q6462A/Q5952A;Картридж лазерный Cactus CS-Q6462AR Q6462A желтый (12000стр.) для HP CLJ 4730;
1584;CS-Q6463AR, NV-Q6463AM, WB Q6463A/Q5953A;Картридж лазерный Cactus CS-Q6463AR Q6463A пурпурный (12000стр.) для HP CLJ 4730;
1585;135951, 9896981, BS-M-TNP-22C, CS-TNP22C;Картридж лазерный Cactus CS-TNP22C голубой (6000стр.) для Konica Minolta C35/C35P;
1586;135950, 9896982, BS-M-TNP-22M, CS-TNP22M;Картридж лазерный Cactus CS-TNP22M пурпурный (6000стр.) для Konica Minolta C35/C35P;
1587;135949, 9896983, BS-M-TNP-22Y, CS-TNP22Y;Картридж лазерный Cactus CS-TNP22Y желтый (6000стр.) для Konica Minolta C35/C35P;
1588;BS-M-TNP-27K, CS-TNP27B, EAMNBZ2500010, GP_TNP-27K_BK;Картридж лазерный Cactus CS-TNP27B черный (6000стр.) для Konica Minolta C25;
1589;98969801, EAMNBZ2500020, GP_TNP-27C_C;Тонер-картридж Hi-Black (HB-TNP-27C) для Konica-Minolta bizhub C25, C, 6К;
1590;98969802, EAMNBZ2500030, GP_TNP-27M_M;Тонер-картридж БУЛАТ s-Line TNP27M для Konica Minolta bizhub C25 (Пурпурный, 6000 стр.);
1592;CS-LX32;Картридж 18CX032E (№32), черный CS;
1593;CS-LX33;Картридж 18CX033E (№33), цветной CS;
1594;CS-LX34 cs;Картридж 18C0034 черный CS;
1595;SF-18C0035;Картридж 18C0035E (№35) SF;
1601;102594, BS-SgCLT-C508L;Картридж CLT-C508L CT;
1603;102593, BS-SgCLT-K508L, NV-CLTK508LBk;Картридж Samsung CLT-K508L для CLP-620/670/CLX-6220/6250, Bk, 5K, Blossom;
1605;102595, BS-SgCLT-M508L, NV-CLTM508LM;Картридж NVP совместимый Samsung CLT-M508L Magenta;
1607;102596, BS-SgCLT-Y508L, NV-CLTY508LY;Картридж NVP совместимый NV-CLT-Y508L Yellow;
1611;10326, PL_106R01245;Картридж Colortek Xerox 106R01245 3428;
1613;24583, NV-106R01534;Картридж NVP совместимый Xerox 106R01534 для Phaser 4600/4620 (13000k);
1619;176980, BS-BrTN7300, SG-TN7300, WB TN7300;Тонер-картридж Smart Graphics SG-TN7300 для Brother DCP‑8020, DCP‑8025, HL‑1650 (Чёрный, 3;
1620;107270;Картридж 715 CT;
1624;BS-CnC732BK;Картридж Canon 732BK BS;
1625;BS-CnC732C;Картридж Canon 732C BS;
1626;;Картридж 732HBk, черный;
1627;BS-CnC732M;Картридж Canon 732M BS;
1628;BS-CnC732Y;Картридж Canon 732Y BS;
1629;11734;Картридж Colortek Epson C13S050033 C1000/2000 Black;
1631;8896;Картридж Colortek Epson C13S050095/С13S050087 ( EPL-5900/6100);
1633;119359, C13S050147 CT;Картридж Colortek Epson C13S050147 C4100 Magenta;
1634;119360;Картридж Colortek Epson C13S050148 C4100 Yellow;
1635;119357;Картридж Epson S050149 CT;
1636;15157, BS-EPLS050242;Картридж Colortek Epson C13S050242 C4200 Yellow;
1637;15156, BS-EPLS050243;Картридж Colortek Epson C13S050243 C4200 Magenta;
1638;15155, BS-EPLS050244;Картридж Colortek Epson C13S050244 C4200 Cyan;
1639;15154, BS-EPLS050245;Картридж Colortek Epson C13S050245 C4200 Black;
1640;11749-1, BS-EPLS050316;Картридж Epson LS050316 для AcuLaser CX21N/NF,yellow, 5000 стр.,Blossom;
1641;11748, BS-EPLS050317;Картридж Colortek Epson C13S050317 CX21 Magenta;
1642;11747, BS-EPLS050318;Картридж Colortek Epson C13S050318 CX21 Cyan;
1643;11746, BS-EPLS050319;Картридж S050319 BK BS;
1644;BS-EPLS050521, GP_S050521;Картридж S050521 BS;
1645;135725, GP_S050583;Картридж Colortek Epson C13S050583 (M2400/MX-20);
1646;BS-EPLS050590;Картридж S050590, желтый BS;
1647;BS-EPLS050591;Картридж S050591, пурпурный BS;
1648;BS-EPLS050592;Картридж S050592, голубой BS;
1649;BS-EPLS050593;Картридж S050593, черный BS;
1650;128151, BS-EPLS050650;Картридж S050650 BS;
1651;10983;Картридж Colortek Epson C13S051055 (DU) (6100);
1652;BS-EPLS051104;Совместимый фотобарабан Colortek S051104;
1653;11731, BS-EPLS051111;Картридж Colortek Epson C13S051111 (N3000);
1654;11745, BS-EPLS051124;Картридж S051124 Y BS;
1655;11744, BS-EPLS051125;Картридж Colortek Epson C13S051125 С3800 Magenta;
1656;11743;Картридж S051126 C CT;
1657;BS-EPLS051127;Картридж S051127 BK BS;
1658;14426, BS-HPC3900A, NV-C3900A;Картридж Colortek HP C3900A;
1660;16364;Картридж Colortek HP C4151A M;
1661;16365;Картридж Colortek HP C4152A Y;
1667;12185, 4152603;Картридж Colortek Minolta 1100/1200W (4152603);
1668;BS-Mn1100DR;Драм-картридж Konica Minolta 1100DR для PagePro 8/1100/1200/1250/МВ4016, 20K, Blossom;
