external_code;наш_Д;наш_Ш;наш_В;внеш_Д;внеш_Ш;внеш_В;расхождение_по_сторонам;наш_объём_л;внеш_объём_л;разница_объёма_л;число_источников;группа;карточек_wb_acc1;src_file;src_locator;src_sha256
3738;14.0;5.0;5.0;15.0;4.8;4.8;-1.0 / 0.2 / 0.2;0.35;0.346;0.004;3;А;6;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r20;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3739;14.0;5.0;5.0;15.0;4.8;4.8;-1.0 / 0.2 / 0.2;0.35;0.346;0.004;3;А;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r21;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3740;14.0;5.0;5.0;15.0;4.8;4.8;-1.0 / 0.2 / 0.2;0.35;0.346;0.004;3;А;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r22;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3741;17.0;10.0;10.0;20.0;13.0;5.0;-3.0 / -3.0 / 5.0;1.7;1.3;0.4;1;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r1745;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3742;37.0;20.0;15.0;35.5;28.0;15.0;1.5 / -8.0 / 0.0;11.1;14.91;-3.81;2;В;1;/opt/mp-analytics/incoming/gab/Изи.xlsx;Данные по картриджам!r1913;4064fa397384d687b0349dbae769c7d4a21c54bf65a712f6c31981a966b8f971
3744;37.0;20.0;15.0;38.0;25.0;14.0;-1.0 / -5.0 / 1.0;11.1;13.3;-2.2;3;В;9;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Лазерная Sakura!r1416;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
3745;37.0;15.0;12.0;37.0;9.0;9.0;0.0 / 6.0 / 3.0;6.66;2.997;3.663;1;Б;3;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2426;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3746;37.0;15.0;12.0;37.0;9.0;9.0;0.0 / 6.0 / 3.0;6.66;2.997;3.663;1;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2427;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3747;37.0;15.0;12.0;37.0;9.0;9.0;0.0 / 6.0 / 3.0;6.66;2.997;3.663;1;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2428;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3748;37.0;15.0;12.0;37.0;9.0;9.0;0.0 / 6.0 / 3.0;6.66;2.997;3.663;1;Б;1;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r2429;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3755;15.0;10.0;10.0;14.0;6.0;6.0;1.0 / 4.0 / 4.0;1.5;0.504;0.996;3;Б;15;/opt/mp-analytics/incoming/gab/Вся расходка Китай РФ Cactus GG PR.xlsx;Лист1!r3373;d0488dd393f71b9cb95cf51390c2aba1ef902bcac7a8eb2f95247679cc1d25fc
3756;15.0;10.0;10.0;13.0;5.2;5.2;2.0 / 4.8 / 4.8;1.5;0.352;1.148;3;Б;1;/opt/mp-analytics/incoming/gab/САКУРА АБДУЛ 05.06.xlsx;Струйная Sakura!r157;ddbb1c580ba3ed878627b3d8dbea6c97710c4682804b2638b792149bf490915a
