nm_id;vendor_code;card_vol_l;real_vol_l;razdutost_x;qty_mo;log_per_fact;save_per_unit;save_per_month;supplier_article
199332153;0612;11.1;8.98;1.24;1;375;63;63;cactus: CS-PH3635
261996685;5424;9.09;7.0;1.3;1;691;62;62;profiline: PL_316CMY_C/M/Y_Drum
181104916;0781;3.15;1.09;2.88;1;126;61;61;sakura: SATK1110
262192073;4830;21.49;19.44;1.11;1;551;61;61;изи: DH-W1104A
199330942;1231;1.2;0.19;6.42;2;81;30;60;cactus: CS-LC567XLBK
199570853;07093;11.1;9.18;1.21;1;310;57;57;cactus: CS-D3470B
181104959;0034;1.0;0.12;8.26;2;96;26;52;изи: IC-CPGI-1400XL C
263821863;3489;2.0;0.26;7.6;1;99;52;52;cactus: CS-EPT6735
847868126;2607;2.0;0.26;7.6;1;99;52;52;cactus: CS-T6641BK
216341479;5239;3.84;3.0;1.28;2;137;25;50;sakura: SA069HBK-ECO
192634315;0342;1.0;0.18;5.56;2;59;24;49;изи: IC-H972
247994781;5418;2.88;1.25;2.3;1;232;49;49;sakura: SA067HBK
440329866;3741;1.7;1.3;1.31;4;92;12;48;cactus: CS-GT51-52M/C/Y
209748890;4887;3.0;2.47;1.21;3;122;16;47;cactus: GG-W1500X
216352765;0250;6.72;5.94;1.13;2;215;23;47;profiline: GP_DR-2275_Drum
209732081;4532;2.11;0.57;3.7;1;102;46;46;изи: LC-EXV60
199335537;4730;4.37;4.0;1.09;4;154;11;45;profiline: GP_TN227BK_BK
199335424;4274;3.96;2.47;1.6;1;145;44;44;cactus: CSP-W2410A
199331644;4210;3.96;2.47;1.6;1;145;44;44;cactus: CSP-W2211X
199331645;4212;3.96;2.47;1.6;1;145;44;44;cactus: CSP-W2213X
199331573;4211;3.96;2.47;1.6;1;140;44;44;cactus: CSP-W2212X
199335398;4213;3.96;2.47;1.6;1;145;44;44;cactus: CSP-W2210X
261996681;5464;3.84;2.47;1.55;1;142;41;41;sakura: SA069BK-ECO
